event_date,event_time,event_name,event_url,event_img_thumbnail_link,performer_url,special_guest_names,event_price,door_price,event_status,ticket_url,venue_name,venue_url,event_age
"Tuesday, March 17, 2020",6:30 pm,An Evening with GAELIC STORM,https://first-avenue.com/event/2020/03/gaelicstorm,https://first-avenue.com/sites/default/files/styles/thumbnail/public/images/events/GaelicStorm-031720-388x600web.jpg?itok=QpMlUD0a,https://first-avenue.com/event/2020/03/gaelicstorm,,,,Buy Tickets,https://www.etix.com/ticket/p/6648406/an-evening-with-gaelic-storm-minneapolis-the-fitzgerald-theater?cobrand=first-avenue,The Fitzgerald Theater,https://first-avenue.com/venue/fitzgerald-theater,ALL AGES
"Tuesday, March 17, 2020",7:00 pm,R.LUM.R (CANCELED),https://first-avenue.com/event/2020/03/rlumr,https://first-avenue.com/sites/default/files/styles/thumbnail/public/images/events/RLUMR-031720-388x600web_0.jpg?itok=YCttNk1Z,https://first-avenue.com/event/2020/03/rlumr,,,$15.00,Buy Tickets,,7th St Entry,https://first-avenue.com/venue/entry,18+
"Tuesday, March 17, 2020",7:30 pm,"THE AFTERGREENS, RUNAWAY RICOCHET, CHARLIE DOESN’T SURF, and HONEY HOLE",https://first-avenue.com/event/2020/03/theaftergreens,https://first-avenue.com/sites/default/files/styles/thumbnail/public/images/events/Entry031720-600web.jpg?itok=C_5LCpZP,https://first-avenue.com/event/2020/03/theaftergreens,,,$10.00,Buy Tickets,https://www.etix.com/ticket/p/4529215/the-aftergreensrunaway-ricochetcharlie-doesnt-surfand-honey-hole-minneapolis-7th-st-entry?cobrand=first-avenue,7th St Entry,https://first-avenue.com/venue/entry,18+
"Tuesday, March 17, 2020",7:30 pm,St. Patrick's Day with THE PROVISIONAL and THE SERFS,https://first-avenue.com/event/2020/03/stpatricksday,https://first-avenue.com/sites/default/files/styles/thumbnail/public/images/events/Provisional-Serfs-031720-387x600web.jpg?itok=U4jnR2qL,https://first-avenue.com/event/2020/03/stpatricksday,,,$10.00,Buy Tickets,https://www.etix.com/ticket/p/3797738/stpatricks-day-with-the-provisional-and-the-serfs-stpaul-turf-club?cobrand=turfclub,Turf Club,https://first-avenue.com/venue/turf-club,21+
"Wednesday, March 18, 2020",6:30 pm,The Songs of GRANT HART,https://first-avenue.com/event/2020/03/granthart-tribute,https://first-avenue.com/sites/default/files/styles/thumbnail/public/images/events/GrantHart-031820-387x600web.jpg?itok=LWE-WMp_,https://first-avenue.com/event/2020/03/granthart-tribute,"with BOY DIRT CAR, GIRLSES MOMS, SONS OF GLORIA, THE GLANDOLINIAN ARMY BAND, ALMOST EVERY TUESDAY, RANK STRANGERS, TEENAGE STRANGLER and MORE",$10.00,$12.00,Buy Tickets,https://www.etix.com/ticket/p/2511413/the-songs-of-grant-hart-with-boy-dirt-cargirlses-momssons-of-gloriathe-glandolinian-army-bandand-more-minneapolis-7th-st-entry?cobrand=first-avenue,7th St Entry,https://first-avenue.com/venue/entry,18+
"Wednesday, March 18, 2020",7:00 pm,LISA LANDUCCI and STEVE PEAVEY,https://first-avenue.com/event/2020/03/lisalanducci-stevepeavey,https://first-avenue.com/sites/default/files/styles/thumbnail/public/images/events/LisaLanducci-031820-387x600web.jpg?itok=SFE5iFlf,https://first-avenue.com/event/2020/03/lisalanducci-stevepeavey,,,$15.00,Buy Tickets,https://www.etix.com/ticket/p/7308900/lisa-landucci-and-steve-peavey-stpaul-turf-club?cobrand=first-avenue,Turf Club,https://first-avenue.com/venue/turf-club,21+
"Wednesday, March 18, 2020",8:00 pm,TAMINO,https://first-avenue.com/event/2020/03/tamino,https://first-avenue.com/sites/default/files/styles/thumbnail/public/images/events/Tamino-031820-453x600web.jpg?itok=KXk-X-MF,https://first-avenue.com/event/2020/03/tamino,with HALEY,$15.00,$17.00,Buy Tickets,https://www.etix.com/ticket/p/7984520/tamino-minneapolis-icehouse-mpls?cobrand=first-avenue,icehouse MPLS,https://first-avenue.com/venue/icehouse,21+
"Thursday, March 19, 2020",6:00 pm,DEVIN TOWNSEND — Empath Vol. 1 North American Tour ,https://first-avenue.com/event/2020/03/devintownsend,https://first-avenue.com/sites/default/files/styles/thumbnail/public/images/events/DevinTownsend-031920-387x600v2.jpg?itok=4vA_dlTd,https://first-avenue.com/event/2020/03/devintownsend,with HAKEN and THE CONTORTIONIST,$25.00,$27.00,Buy Tickets,https://www.etix.com/ticket/p/6431450/devin-townsendempath-vol1-north-american-tourwith-haken-and-the-contortionist-minneapolis-first-avenue?cobrand=first-avenue,Mainroom,https://first-avenue.com/venue/mainroom,18+
"Thursday, March 19, 2020",7:00 pm,TC PRIDE Battle of the Bands,https://first-avenue.com/event/2020/03/tcpride-battleofthebands,https://first-avenue.com/sites/default/files/styles/thumbnail/public/images/events/BattleBands_v6-600x338web.jpg?itok=5K3f4UwH,https://first-avenue.com/event/2020/03/tcpride-battleofthebands,"with BLACC PHOENIX, FLOODWATER ANGEL, HOT PINK HANGOVER and TIMISAROCKER",$10.00,$25.00,Buy Tickets,https://www.etix.com/ticket/p/7087895/tc-pride-battle-of-the-bands-minneapolis-fine-line?cobrand=first-avenue,Fine Line,https://first-avenue.com/venue/fineline,18+
"Thursday, March 19, 2020",7:00 pm,DUMB PEOPLE TOWN,https://first-avenue.com/event/2020/03/dumbpeopletown,https://first-avenue.com/sites/default/files/styles/thumbnail/public/images/events/dumbpeopletown-600web.jpg?itok=6uDbSKWs,https://first-avenue.com/event/2020/03/dumbpeopletown,"with Mystery Science Theater 3000 Alums BILL CORBETT, MIKE NELSON, and KEVIN MURPHY and THE CACTUS BLOSSOMS",$29.50,$65.00,Buy Tickets,https://www.etix.com/ticket/p/6915577/dumb-people-town-minneapolis-cedar-cultural-center?cobrand=first-avenue,The Cedar Cultural Center,https://first-avenue.com/venue/cedar,ALL AGES
